Food Establishment Name,Food Establishment Street Address,Food Establishment City,Food Establishment Zip Code,Inspection Date,Inspection Type,Violation Code,Violation Description,Geocoded Location
China East,724 Ferry Cut Off St,New Castle,19720.0,01/31/2022,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"724 Ferry Cut Off St
New Castle, DE 19720
(39.663766012, -75.568085003)"
China Express,4737 Concord Pike Ste 800,Wilmington,19803.0,01/04/2022,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"4737 Concord Pike Ste 800
Wilmington, DE 19803
(39.822869999, -75.543991977)"
China Garden,1015 S College Ave,Newark,19713.0,10/26/2023,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"1015 S College Ave
Newark, DE 19713
(39.652459998, -75.749389006)"
China House,1620 W Newport Pike,Wilmington,19804.0,01/26/2022,Routine,2-301.12,Cleaning Procedure,"1620 W Newport Pike
Wilmington, DE 19804
(39.714617007, -75.627902036)"
China House Chinese Restaurant,250 Gateway South Blvd Suite 180,Dover,19901.0,07/25/2023,Routine,2-401.11,"Eating, Drinking, or Using Tobacco","250 Gateway South Blvd Suite 180
Dover, DE 19901
(39.122787001, -75.498488972)"
China House Express Liu,1404 Lancaster Avenue,Wilmington,19805.0,08/04/2022,Routine,2-102.11,Demonstration of Knowledge,"1404 Lancaster Avenue
Wilmington, DE 19805
(39.743793993, -75.56847099)"
China Inn,216 New Castle Avenue,New Castle,19720.0,02/16/2022,Follow-up,3-304.12,"In-Use Utensils, Between-Use Storage","216 New Castle Avenue
New Castle, DE 19720
(39.686919008, -75.556116987)"
China King,2003 North Market Street,Wilmington,19802.0,04/05/2022,Routine,3-201.11,Compliance with Food Law,"2003 North Market Street
Wilmington, DE 19802
(39.752027998, -75.54186004)"
China King Chinese Restaurant,4307 Kirkwood Highway,Wilmington,19808.0,05/25/2023,Routine,6-301.11,"Handwashing Cleanser, Availability","4307 Kirkwood Highway
Wilmington, DE 19808
(39.728635992, -75.651067018)"
China King Express,61 Marrows Road,Newark,19713.0,11/20/2023,Routine,2-102.12,Certified Food Protection Manager,"61 Marrows Road
Newark, DE 19713
(39.664945011, -75.725791015)"
China King Restaurant,1000 Midway Drive,Harrington,19952.0,01/12/2022,Complaint,6-501.111,Controlling Pests,"1000 Midway Drive
Harrington, DE 19952
(38.924882011, -75.565052012)"
China Kitchen,4200 North Dupont Highway Suite 1,Dover,19901.0,10/06/2023,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"4200 North Dupont Highway Suite 1
Dover, DE 19901
(39.20812102, -75.566098995)"
China One,1841 Pulaski Hwy,Bear,19701.0,02/01/2022,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","1841 Pulaski Hwy
Bear, DE 19701
(39.611364994, -75.707166007)"
China Star,1256 Norman Eskridge Hwy,Seaford,19973.0,11/15/2022,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"1256 Norman Eskridge Hwy
Seaford, DE 19973
(38.65315299, -75.596344003)"
China Star Chen Inc,209 Stadium Street,Smyrna,19977.0,12/01/2022,Routine,3-201.11,Compliance with Food Law,"209 Stadium Street
Smyrna, DE 19977
(39.280084981, -75.592228992)"
China Taste,121 North Mainstreet Suite 1,Camden,19934.0,08/01/2023,Routine,6-301.14,Handwashing Signage,"121 North Mainstreet Suite 1
Camden, DE 19934
(39.11574901, -75.539258968)"
China Wok,128 Broadkill Road #e,Milton,19968.0,03/24/2022,Routine,2-401.11,"Eating, Drinking, or Using Tobacco","128 Broadkill Road #e
Milton, DE 19968
(38.789072004, -75.313907981)"
China Wok Chinese Restaurant,941 N DuPont Blvd Suite H,Milford,19963.0,01/25/2022,Routine,4-302.14,"Sanitizing Solutions, Testing Devices","941 N DuPont Blvd Suite H
Milford, DE 19963
(38.930840999, -75.433077018)"
Chinatown Buffet,1071 N Dupont Hwy,Dover,19901.0,02/14/2022,Follow-up,5-202.12,"Handwashing Sinks, Installation","1071 N Dupont Hwy
Dover, DE 19901
(39.18603701, -75.533644015)"
Chinatown Express,38223 Dupont Blvd Ut 8,Selbyville,19975.0,07/28/2023,Routine,2-201.11,"Responsibility of Permit Holder, Person in Charge, and Conditional Employees","38223 Dupont Blvd Ut 8
Selbyville, DE 19975
(38.459098017, -75.23186499)"
Chipotle,113 S Dupont Hwy #2,New Castle,19720.0,04/22/2022,Routine,3-101.11,"Safe, Unadulterated and Honestly Presented","113 S Dupont Hwy #2
New Castle, DE 19720
(39.664083016, -75.606630023)"
Chipotle Mexican Grill,1141 North Dupont Highway Suite 1,Dover,19901.0,02/01/2023,Routine,2-201.11,"Responsibility of Permit Holder, Person in Charge, and Conditional Employees","1141 North Dupont Highway Suite 1
Dover, DE 19901
(39.186839996, -75.536609029)"
Chipotle Mexican Grill #3425,2209 Concord Pike,Wilmington,19803.0,01/26/2022,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","2209 Concord Pike
Wilmington, DE 19803
(39.790831013, -75.545666011)"
CHIPOTLE MEXICAN GRILL- STORE #3630,30 South Dupont Highway,Camden,19934.0,01/14/2022,Follow-up,5-205.15,System Maintained in Good Repair,"30 South Dupont Highway
Camden, DE 19934
(39.112133388, -75.538124264)"
Chiwa Bistro,132 Christiana Mall #1845,Newark,19702.0,11/15/2023,Routine,5-202.12,"Handwashing Sinks, Installation","132 Christiana Mall #1845
Newark, DE 19702
(39.678522018, -75.65204703)"
Chocolate Wave,5 North 1st Street,Rehoboth Beach,19971.0,07/14/2023,Routine,2-102.12,Certified Food Protection Manager,"5 North 1st Street
Rehoboth Beach, DE 19971
(38.717020996, -75.079274036)"
Christ Lutheran Church,315 N Shipley St,Seaford,19973.0,12/11/2023,Routine,4-601.11,"Equipment, Food-Contact Surfaces, Nonfood-Contact Surfaces, and Utensils","315 N Shipley St
Seaford, DE 19973
(38.641531984, -75.621316962)"
Christ The Teacher Catholic School,2451 Frazer Road,Newark,19702.0,01/20/2022,Follow-up,4-501.112,"Mechanical Warewashing Equipment, Hot Water Sanitization Temperatures","2451 Frazer Road
Newark, DE 19702
(39.603502014, -75.772001034)"
Christiana Cafe,1000 Samoset Dr,Newark,19713.0,11/29/2023,Routine,4-501.112,"Mechanical Warewashing Equipment, Hot Water Sanitization Temperatures","1000 Samoset Dr
Newark, DE 19713
(39.684622995, -75.676703991)"
Christiana Care Health Svcs-wilmington Hospital,501 W 14th Street,Wilmington,19899.0,07/06/2022,Routine,6-301.12,Hand Drying Provision,"501 W 14th Street
Wilmington, DE 19899
(39.751306986, -75.549888981)"
Christiana Care Women & Infants Tower,4755 Ogletown-Stanton Road,Newark,19713.0,03/02/2022,Routine,4-302.12,Food Temperature Measuring Devices,"4755 Ogletown-Stanton Road
Newark, DE 19713
(39.690692553, -75.671799225)"
Christiana High School South(h),190 Salem Church Road,Newark,19713.0,10/02/2023,Routine,6-301.12,Hand Drying Provision,"190 Salem Church Road
Newark, DE 19713
(39.663963993, -75.695196984)"
Christiana Pub,10 W Main St,Newark,19702.0,10/16/2023,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"10 W Main St
Newark, DE 19702
(39.665486021, -75.661706)"
Christiana Skating Center,801 Christiana Rd,Newark,19713.0,10/30/2023,Routine,4-302.14,"Sanitizing Solutions, Testing Devices","801 Christiana Rd
Newark, DE 19713
(39.675847981, -75.684040001)"
Christiana Truck Stop,520 Terminal Ave,New Castle,19720.0,05/17/2022,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","520 Terminal Ave
New Castle, DE 19720
(39.719494982, -75.538359003)"
Chuck E Cheese,3601 Silverside Road,Wilmington,19810.0,11/23/2022,Routine,2-103.11,Person-In-Charge-Duties,"3601 Silverside Road
Wilmington, DE 19810
(39.810357997, -75.548138002)"
CHUCK E CHEESE #759,1275 North Dupont Highway,Dover,19901.0,01/26/2022,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","1275 North Dupont Highway
Dover, DE 19901
(39.190381979, -75.539756015)"
Church Of The Nativity,206 Sykes Rd,New Castle,19720.0,06/21/2023,Routine,6-301.11,"Handwashing Cleanser, Availability","206 Sykes Rd
New Castle, DE 19720
(39.695472992, -75.584575979)"
Ciao Italian Grill & Pizzeria,200 University Plaza Rt 273,Newark,19702.0,12/12/2023,Routine,4-602.12,Cooking and Baking Equipment,"200 University Plaza Rt 273
Newark, DE 19702
(39.666360002, -75.668129975)"
Ciao Pizza,3218 Kirkwood Hwy,Wilmington,19808.0,04/14/2022,Routine,3-301.11,Preventing Contamination from Hands,"3218 Kirkwood Hwy
Wilmington, DE 19808
(39.73555299, -75.626660006)"
Cielito Lindo,1718 West Gilpin Drive,Wilmington,19805.0,03/07/2023,Routine,5-204.11,Handwashing Sinks-Location and Placement,"1718 West Gilpin Drive
Wilmington, DE 19805
(39.745292007, -75.610313032)"
Cindy's Meal On Wheels,11420 Hollytree Rd,Lincoln,19960.0,09/09/2023,Routine,4-302.14,"Sanitizing Solutions, Testing Devices","11420 Hollytree Rd
Lincoln, DE 19960
(38.828143994, -75.421993963)"
Cinemark Movie Theater,1200 Christiana Mall Rd,Newark,19702.0,11/14/2023,Routine,2-102.12,Certified Food Protection Manager,"1200 Christiana Mall Rd
Newark, DE 19702
(39.681248986, -75.650316)"
Cinemark Movies 10,1796 W Newport Pk,Stanton,19804.0,01/06/2022,Follow-up,6-501.111,Controlling Pests,"1796 W Newport Pk
Stanton, DE 19804
(39.714413998, -75.631114987)"
Cinnabon and Auntie Annes,160 Rehoboth Avenue,Rehoboth Beach,19971.0,06/08/2022,Routine,6-301.12,Hand Drying Provision,"160 Rehoboth Avenue
Rehoboth Beach, DE 19971
(38.715721005, -75.081030966)"
CINNABON TRAILER,1051 North Dupont Highway,Dover,19901.0,08/18/2022,Routine,6-201.11,"Floors, Walls and Ceilings-Cleanability","1051 North Dupont Highway
Dover, DE 19901
(39.18603701, -75.533644015)"
Cinnabon/Auntie Anne's,530 JFK Memorial HWY,Newark,19702.0,02/08/2022,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"530 JFK Memorial HWY
Newark, DE 19702
(39.661969016, -75.691436024)"
Cinnabon/Carvel,227 Christiana Mall Rd,Newark,19702.0,11/14/2023,Routine,2-102.12,Certified Food Protection Manager,"227 Christiana Mall Rd
Newark, DE 19702
(39.678522018, -75.65204703)"
Cinnabon/Carvel Kiosk,715 Christiana Mall Rd,Newark,19702.0,11/14/2023,Routine,6-201.11,"Floors, Walls and Ceilings-Cleanability","715 Christiana Mall Rd
Newark, DE 19702
(39.678522018, -75.65204703)"
Cinnamon's Rest And Lounge,606 Bridgeville Road,Seaford,19973.0,11/07/2023,Routine,2-201.11,"Responsibility of Permit Holder, Person in Charge, and Conditional Employees","606 Bridgeville Road
Seaford, DE 19973
(38.651049006, -75.60650002)"
Circle K,1801 Concord Pike,Wilmington,19803.0,05/26/2022,Routine,2-102.12,Certified Food Protection Manager,"1801 Concord Pike
Wilmington, DE 19803
(39.786059991, -75.545325035)"
Cirlce K #2655790,698 Naamans Rd,Claymont,19703.0,07/14/2023,Routine,2-102.12,Certified Food Protection Manager,"698 Naamans Rd
Claymont, DE 19703
(39.816435003, -75.458661018)"
Ciro Food & Drink,321 Justison Street,Wilmington,19801.0,10/13/2022,Routine,5-501.110,"Storage Refuse, Recyclables and Returnables","321 Justison Street
Wilmington, DE 19801
(39.736754997, -75.560073999)"
Citibank,One Penns Way,New Castle,19721.0,09/08/2022,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","One Penns Way
New Castle, DE 19721
(39.685973991, -75.607515991)"
City Fare/MOT Senior Center,300 South Scott Street,Middletown,19709.0,02/16/2023,Routine,6-501.111,Controlling Pests,"300 South Scott Street
Middletown, DE 19709
(39.445969006, -75.719606008)"
City Of Wilm Parks & Rec Youth & Families,500 Wilmington Ave,Wilmington,19801.0,03/18/2022,Routine,2-102.12,Certified Food Protection Manager,"500 Wilmington Ave
Wilmington, DE 19801
(39.721595989, -75.540916992)"
Classic Rock,18485 Bethpage Dr,Lewes,19958.0,05/31/2023,Routine,4-101.16,Sponges Use Limitation,"18485 Bethpage Dr
Lewes, DE 19958
(38.736280011, -75.147729961)"
Classic Treats/ Gotta Lotta Gelata,4 Theodora Court,Wilmington,19808.0,04/14/2023,Routine,4-302.14,"Sanitizing Solutions, Testing Devices","4 Theodora Court
Wilmington, DE 19808
(39.717158987, -75.668566001)"
Claude's Corner Store,Wilmington Trust Center 1100 N Mark,Wilmington,19801.0,05/10/2022,Routine,2-102.12,Certified Food Protection Manager,"Wilmington Trust Center 1100 N Mark
Wilmington, DE 19801
(39.743305, -75.54704)"
Claws Crab House,167 Rehoboth Ave,Wyoming,19971.0,06/06/2022,Routine,2-401.11,"Eating, Drinking, or Using Tobacco","167 Rehoboth Ave
Wyoming, DE 19971
(38.716452997, -75.081442015)"
Claymont Community Center,3301 Green Street,Claymont,19703.0,05/23/2023,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","3301 Green Street
Claymont, DE 19703
(39.80248299, -75.465453041)"
Claymont Steak Shop,2720 Concord Pike,Wilmington,19803.0,04/20/2022,Routine,6-301.11,"Handwashing Cleanser, Availability","2720 Concord Pike
Wilmington, DE 19803
(39.79710998, -75.547940021)"
Claymont Steak Shop - Trabant University Center,17 West Main Street,Newark,19716.0,11/01/2023,Routine,4-903.11,"Equipment, Utensils, Linens and Single-Service and Single-Use Articles Storing","17 West Main Street
Newark, DE 19716
(39.682491016, -75.754678992)"
Claymont Steaks And Subs,3526 Philadelphia Pike,Claymont,19703.0,09/07/2022,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"3526 Philadelphia Pike
Claymont, DE 19703
(39.802336013, -75.457499034)"
Clayton Elementary School,510 West Main Street,Clayton,19938.0,11/16/2022,Routine,3-501.18,"Ready-To-Eat Time/Temperature Control for Safety Food, Disposition","510 West Main Street
Clayton, DE 19938
(39.287955002, -75.636173969)"
Clayton Intermediate School,86 Sorrento Drive,Clayton,19938.0,05/03/2022,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","86 Sorrento Drive
Clayton, DE 19938
(39.271371993, -75.646580018)"
Clayton Vfc,Railroad Avenue,Clayton,19938.0,11/10/2022,Routine,3-201.11,Compliance with Food Law,"Railroad Avenue
Clayton, DE 19938
(39.291783877, -75.633881624)"
Cobblestone Cafe,408 S State St,Dover,19901.0,08/11/2022,Routine,2-102.12,Certified Food Protection Manager,"408 S State St
Dover, DE 19901
(39.155686013, -75.523696037)"
Coco Mango Grille,20557 John J Williams Hwy,Lewes,19958.0,06/24/2022,Routine,2-102.12,Certified Food Protection Manager,"20557 John J Williams Hwy
Lewes, DE 19958
(38.701788019, -75.163997978)"
Code Purple Kent County,1207 East Division Street,Dover,19901.0,09/15/2022,Routine,2-201.11,"Responsibility of Permit Holder, Person in Charge, and Conditional Employees","1207 East Division Street
Dover, DE 19901
(39.167206981, -75.506908007)"
Coffee Mill,127 Rehoboth Avenue #b,Rehoboth Beach,19971.0,05/15/2023,Routine,6-301.11,"Handwashing Cleanser, Availability","127 Rehoboth Avenue #b
Rehoboth Beach, DE 19971
(38.716644984, -75.080059001)"
Coho's Market & Grill,305 Rehoboth Ave,Wyoming,19971.0,01/10/2023,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","305 Rehoboth Ave
Wyoming, DE 19971
(38.715932019, -75.086773995)"
Cold Stone Creamery #21229,1051 North Dupont Highway,Dover,19901.0,05/27/2022,Routine,7-202.12,Conditions of Use,"1051 North Dupont Highway
Dover, DE 19901
(39.18603701, -75.533644015)"
Coldstone Creamery #21174,2470 Pulaski Highway,Newark,19702.0,11/30/2023,Routine,2-102.12,Certified Food Protection Manager,"2470 Pulaski Highway
Newark, DE 19702
(39.604026009, -75.747735005)"
Coleman Mem U M C,465 1/2 Anderson Dr,Wilmington,19801.0,04/13/2023,Routine,2-102.12,Certified Food Protection Manager,"465 1/2 Anderson Dr
Wilmington, DE 19801
(39.705120018, -75.552904036)"
Colorful Yun Nan Restaurant,59 E Main St,Newark,19711.0,05/03/2022,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","59 E Main St
Newark, DE 19711
(39.682900011, -75.750971006)"
Columbus Inn,2216 Pennsylvania Avenue,Wilmington,19806.0,03/09/2022,Routine,3-302.12,Food Storage Containers Identified with Common Name of Food,"2216 Pennsylvania Avenue
Wilmington, DE 19806
(39.757669018, -75.571170969)"
Colwyck Elementary School,12 Landers Lane,New Castle,19720.0,09/26/2022,Routine,6-501.16,Drying Mops,"12 Landers Lane
New Castle, DE 19720
(39.686685991, -75.558973037)"
Comfort Inn,19210 Coastal Hwy,Rehoboth Beach,19971.0,08/24/2023,Routine,5-202.13,"Backflow Prevention, Air Gap","19210 Coastal Hwy
Rehoboth Beach, DE 19971
(38.725070012, -75.126813005)"
Comfort Suites,1654 N DuPont Hwy,Dover,19901.0,02/17/2023,Routine,2-201.11,"Responsibility of Permit Holder, Person in Charge, and Conditional Employees","1654 N DuPont Hwy
Dover, DE 19901
(39.196669999, -75.553106962)"
Community Pentecostal Church Of God,5033 Gun & Rod Club Road,Houston,19954.0,08/26/2022,Routine,6-202.15,"Outer Openings, Protected","5033 Gun & Rod Club Road
Houston, DE 19954
(38.91584699, -75.51691097)"
Community Presbyterian Church-attn Mrs Chandler,519 Rogers Rd,New Castle,19720.0,04/01/2022,Routine,6-301.14,Handwashing Signage,"519 Rogers Rd
New Castle, DE 19720
(39.712922983, -75.549285987)"
Conch Island Extended,37169 Rehoboth Avenue Extension,Rehoboth Beach,19971.0,11/03/2022,Routine,3-305.11,Food Storage-Preventing Contamination from the Premises,"37169 Rehoboth Avenue Extension
Rehoboth Beach, DE 19971
(38.713343981, -75.099478026)"
Concord Diner,2530 Concord Pike,Wilmington,19803.0,08/15/2023,Routine,2-401.11,"Eating, Drinking, or Using Tobacco","2530 Concord Pike
Wilmington, DE 19803
(39.796009981, -75.547788979)"
Concord High School,2501 Ebright Rd,Wilmington,19810.0,10/02/2023,Routine,6-501.114,"Maintaining Premises, Unnecessary Items and Litter","2501 Ebright Rd
Wilmington, DE 19810
(39.83035902, -75.524842011)"
Coney Island Grill,108 West Loockerman Street,Dover,19904.0,02/16/2023,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","108 West Loockerman Street
Dover, DE 19904
(39.157612007, -75.525869967)"
Confucius,57 Wilmington Ave,Rehoboth Beach,19971.0,04/14/2022,Routine,4-501.11,Good Repair and Proper Adjustment-Equipment,"57 Wilmington Ave
Rehoboth Beach, DE 19971
(38.715392979, -75.081519967)"
Connie's Chicken and Waffles,111 West 10th Street Suite 2,Wilmington,19801.0,04/05/2022,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","111 West 10th Street Suite 2
Wilmington, DE 19801
(39.746272019, -75.548154011)"
Conrad Middle School,201 Jackson Avenue,Wilmington,19804.0,03/07/2022,Routine,2-501.11,Clean-up of Vomiting and Diarrheal Events,"201 Jackson Avenue
Wilmington, DE 19804
(39.722644021, -75.601538017)"
Constitution Yards,308 Justison Street,Wilmington,19801.0,08/10/2022,Routine,5-202.12,"Handwashing Sinks, Installation","308 Justison Street
Wilmington, DE 19801
(39.736514017, -75.559157019)"
Conti Holdings LLC Rust Sub & Sand Station,28280 John J Williams Hwy,Millsboro,19966.0,09/06/2023,Routine,6-202.14,"Toilet Rooms, Enclosed","28280 John J Williams Hwy
Millsboro, DE 19966
(38.603531997, -75.234186023)"
Cooter Brown's Twisted Southern Kitchen & Bar,70 Rehoboth Ave,Rehoboth Beach,19971.0,02/03/2022,Routine,3-307.11,Miscellaneous Sources of Contamination,"70 Rehoboth Ave
Rehoboth Beach, DE 19971
(38.716040984, -75.078458979)"
Copper Dram(the),3826 Kennett Pike,Wilmington,19807.0,04/25/2023,Routine,2-102.12,Certified Food Protection Manager,"3826 Kennett Pike
Wilmington, DE 19807
(39.776247104, -75.59612301)"
Copp's Seafood Trap & Marketplace,24392 Copps Lane,Lewes,19958.0,12/13/2023,Routine,3-602.11,Food Labels,"24392 Copps Lane
Lewes, DE 19958
(38.718107406, -75.150949555)"
Corner Bistro,3604 Silverside Road,Wilmington,19810.0,09/27/2022,Routine,2-401.11,"Eating, Drinking, or Using Tobacco","3604 Silverside Road
Wilmington, DE 19810
(39.808391016, -75.548039011)"
Cornerstone Fellowship Baptist Church,20 West Lea Boulevard PO Box 26219,Wilmington,19802.0,08/10/2023,Routine,4-302.14,"Sanitizing Solutions, Testing Devices","20 West Lea Boulevard PO Box 26219
Wilmington, DE 19802
(39.76218502, -75.521832991)"
Correctional Officers Association Of Delaware,1243 College Park Drive,Dover,19904.0,10/25/2023,Routine,4-601.11,"Equipment, Food-Contact Surfaces, Nonfood-Contact Surfaces, and Utensils","1243 College Park Drive
Dover, DE 19904
(39.180367994, -75.552549984)"
Cosa Nostra,913 Fairview Avenue,Wilmington,19809.0,08/19/2022,Routine,2-102.12,Certified Food Protection Manager,"913 Fairview Avenue
Wilmington, DE 19809
(39.767757016, -75.501205966)"
Cosmo's Restaurant,316 S Maryland Ave,Wilmington,19804.0,01/31/2022,Routine,2-401.11,"Eating, Drinking, or Using Tobacco","316 S Maryland Ave
Wilmington, DE 19804
(39.725599983, -75.589619035)"
Costco Wholesale,900 Center Blvd,Newark,19702.0,11/02/2022,Routine,5-203.11,Handwashing Sinks-Numbers and Capacities,"900 Center Blvd
Newark, DE 19702
(39.677768987, -75.647581991)"
Cottage Cafe,33034 Coastal Hwy,Bethany Beach,19930.0,04/04/2022,Routine,4-302.12,Food Temperature Measuring Devices,"33034 Coastal Hwy
Bethany Beach, DE 19930
(38.52797002, -75.058025995)"
Cottage Cafe Bethany,33034 Coastal Highway,Bethany Beach,19930.0,11/22/2022,Routine,3-307.11,Miscellaneous Sources of Contamination,"33034 Coastal Highway
Bethany Beach, DE 19930
(38.52797002, -75.058025995)"
Countrie Eatery,950 N State St,Dover,19901.0,02/16/2023,Routine,3-305.11,Food Storage-Preventing Contamination from the Premises,"950 N State St
Dover, DE 19901
(39.177158982, -75.530090004)"
Country Corners Market # 7,1606 Bay Rd,Milford,19963.0,03/02/2022,Routine,6-202.13,"Insect Control Devices, Design and Installation","1606 Bay Rd
Milford, DE 19963
(38.961644996, -75.429194018)"
Country Corners Market # 8,508 SE 2nd St,Milford,19963.0,12/23/2021,Routine,6-301.14,Handwashing Signage,"508 SE 2nd St
Milford, DE 19963
(38.910224996, -75.421892961)"
Country Corners Market #12,22168 Dupont Hwy,Georgetown,19947.0,03/23/2022,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"22168 Dupont Hwy
Georgetown, DE 19947
(38.681991011, -75.396639963)"
Country Corners Market #9,17921 Coastal Highway,Lewes,19958.0,04/21/2023,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","17921 Coastal Highway
Lewes, DE 19958
(38.748311018, -75.159199003)"
Country Cupboard,1200 Willow Grove Rd,Felton,19943.0,08/23/2022,Routine,4-101.16,Sponges Use Limitation,"1200 Willow Grove Rd
Felton, DE 19943
(39.03249999, -75.723075027)"
Country Kitchen Family Restaurant,28521 N Dupont Hwy Unit 2,Millsboro,19966.0,12/02/2022,Routine,3-307.11,Miscellaneous Sources of Contamination,"28521 N Dupont Hwy Unit 2
Millsboro, DE 19966
(38.58463399, -75.293701978)"
Country Maid,260 University Plaza,Newark,19702.0,01/10/2022,Routine,5-203.11,Handwashing Sinks-Numbers and Capacities,"260 University Plaza
Newark, DE 19702
(39.666853989, -75.667925959)"
Country Maid Pizza & Deli,750 E Chestnut Hill Rd,Newark,19713.0,10/17/2023,Routine,2-301.14,When to Wash,"750 E Chestnut Hill Rd
Newark, DE 19713
(39.677039008, -75.700205004)"
Countryside Cafe,37242 Lighthouse Rd,Selbyville,19975.0,05/02/2022,Routine,4-601.11,"Equipment, Food-Contact Surfaces, Nonfood-Contact Surfaces, and Utensils","37242 Lighthouse Rd
Selbyville, DE 19975
(38.464765986, -75.085662974)"
Courtyard By Marriott,1102 West St,Wilmington,19801.0,03/28/2022,Routine,6-301.12,Hand Drying Provision,"1102 West St
Wilmington, DE 19801
(39.748017006, -75.549693012)"
Courtyard Marriott Bistro,1102 West St,Wilmington,19801.0,12/05/2023,Routine,3-305.11,Food Storage-Preventing Contamination from the Premises,"1102 West St
Wilmington, DE 19801
(39.748017006, -75.549693012)"
Courtyard Marriott Brandywine,320 Rocky Run Parkway,Wilmington,19803.0,05/03/2022,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","320 Rocky Run Parkway
Wilmington, DE 19803
(39.817867009, -75.550851978)"
Cousins Maine Lobster,1901 North Dupont Highway,New Castle,19720.0,06/28/2023,Routine,2-102.12,Certified Food Protection Manager,"1901 North Dupont Highway
New Castle, DE 19720
(39.701421, -75.577051963)"
Crab Barn To Go,32600 Long Neck Rd,Millsboro,19966.0,04/19/2022,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","32600 Long Neck Rd
Millsboro, DE 19966
(38.629712997, -75.17395702)"
Crab Du Jour,1000 Churchmans Road,Newark,19713.0,11/02/2023,Routine,7-102.11,Common Name-Working Containers,"1000 Churchmans Road
Newark, DE 19713
(39.689406003, -75.657749994)"
Crab House Rehoboth,19598 Coastal Hwy,Wyoming,19971.0,08/08/2022,Routine,2-401.11,"Eating, Drinking, or Using Tobacco","19598 Coastal Hwy
Wyoming, DE 19971
(38.718699011, -75.116070004)"
Crabby Dick's,18831 Coastal Hwy,Rehoboth Beach,19971.0,02/23/2022,Routine,2-402.11,Effectiveness-Hair Restraints,"18831 Coastal Hwy
Rehoboth Beach, DE 19971
(38.733139983, -75.134814035)"
Crabby Dick's Creamery,32 Clinton St,Delaware City,19706.0,10/11/2023,Routine,5-501.17,"Toilet Room Receptacle, Covered","32 Clinton St
Delaware City, DE 19706
(39.579444988, -75.588007027)"
Cracker Barrel,19550 Coastal Hwy,Rehoboth Beach,19971.0,12/27/2022,Routine,4-501.112,"Mechanical Warewashing Equipment, Hot Water Sanitization Temperatures","19550 Coastal Hwy
Rehoboth Beach, DE 19971
(38.719255989, -75.117576986)"
Crafty Crab Seafood & Bar,429 South Walnut Street,Wilmington,19801.0,03/30/2022,Routine,2-102.11,Demonstration of Knowledge,"429 South Walnut Street
Wilmington, DE 19801
(39.732005014, -75.553757984)"
Cranston Heights Fire Co,3306 Kirkwood Hwy,Wilmington,19808.0,12/20/2023,Routine,4-302.14,"Sanitizing Solutions, Testing Devices","3306 Kirkwood Hwy
Wilmington, DE 19808
(39.73640501, -75.627715958)"
Creations By Catherine Caterers,1601 Newport Gap Pk,Wilmington,19808.0,10/23/2023,Routine,2-102.12,Certified Food Protection Manager,"1601 Newport Gap Pk
Wilmington, DE 19808
(39.730482986, -75.62413303)"
Cripple Creek Golf & Country Club,29494 Cripple Creek Drive,Dagsboro,19939.0,08/22/2023,Routine,2-201.11,"Responsibility of Permit Holder, Person in Charge, and Conditional Employees","29494 Cripple Creek Drive
Dagsboro, DE 19939
(38.582120006, -75.140582963)"
Cromwells Tavern & Rest,3858 Kennett Pk,Wilmington,19807.0,12/12/2022,Routine,2-401.11,"Eating, Drinking, or Using Tobacco","3858 Kennett Pk
Wilmington, DE 19807
(39.775974005, -75.596910033)"
